Territory,Claimants,Controller,Region
Abyei,South Sudan;Sudan,Sudan,Africa
Heglig,Sudan;South Sudan,Sudan,Africa
Kafia Kingi,Sudan;South Sudan,Sudan,Africa
Al Fushqa District,Sudan;Ethiopia,Sudan,Africa
Banc du Geyser,France;Madagascar;Comoros,Unknown,Africa
Bassas da India,France;Madagascar,France,Africa
Europa Island,Madagascar;France,France,Africa
Juan de Nova Island,France;Madagascar,France,Africa
Ceuta,Morocco;Spain,Spain,Africa
Melilla,Spain;Morocco,Spain,Africa
plazas de soberanía,Spain;Morocco,Spain,Africa
Chagos Archipelago,United Kingdom;Mauritius;Maldives;Seychelles,United Kingdom,Africa
Ras Doumeira,Eritrea;Djibouti,Eritrea,Africa
Doumeira Island,Eritrea;Djibouti,Eritrea,Africa
Glorioso Islands,Madagascar;France;Comoros,France,Africa
Hala'ib Triangle,Sudan;Egypt,Egypt,Africa
Ilemi Triangle,Kenya;South Sudan,Kenya,Africa
KaNgwane,Eswatini;South Africa,South Africa,Africa
Ingwavuma,Eswatini;South Africa,South Africa,Africa
Koalou,Burkina Faso;Benin,Unknown,Africa
Sipilou,Ivory Coast;Guinea,Ivory Coast,Africa
Logoba,Uganda;South Sudan,Unknown,Africa
Moyo District,Uganda;South Sudan,Unknown,Africa
Chiengi,Zambia;Democratic Republic of Congo,Zambia,Africa
Lunchinda-Pweto Province,Democratic Republic of Congo;Zambia,Zambia,Africa
Mayotte,France;Comoros,France,Africa
Mbamba Bay,Tanzania;Malawi,Tanzania,Africa
Lake Nyasa,Malawi;Tanzania,Tanzania,Africa
Mbañie Island,Equatorial Guinea;Gabon,Unknown,Africa
Cocotiers,Equatorial Guinea;Gabon,Unknown,Africa
Congas Island,Equatorial Guinea;Gabon,Unknown,Africa
Migingo Island,Kenya;Uganda,Unknown,Africa
Lolwe,Kenya;Uganda,Unknown,Africa
Oyasi,Uganda;Kenya,Unknown,Africa
Remba,Uganda;Kenya,Unknown,Africa
Ringiti,Uganda;Kenya,Unknown,Africa
Sigulu,Kenya;Uganda,Unknown,Africa
Lake Victoria,Uganda;Kenya,Unknown,Africa
Congo River,Republic of the Congo;Democratic Republic of Congo,Unknown,Africa
Ntem River,Equatorial Guinea;Cameroon,Unknown,Africa
Okpara River,Nigeria;Benin,Unknown,Africa
